,DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
144,0,mujets,down,5,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0073761618696153164
145,0,mujets,down,5,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.013379485346376896
146,0,mujets,down,5,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.025395605713129044
147,0,mujets,down,5,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.042268633842468262
148,0,mujets,down,5,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.028090815991163254
149,0,mujets,down,5,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.02471943199634552
150,0,mujets,down,5,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.099591106176376343
151,0,mujets,down_correlated,4,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0618512771877
152,0,mujets,down_correlated,4,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0305216128019
153,0,mujets,down_correlated,4,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0638498771414
154,0,mujets,down_correlated,4,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.053669816529
155,0,mujets,down_correlated,4,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.10417509298
156,0,mujets,down_correlated,4,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0139980706486
157,0,mujets,down_correlated,4,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0485605382675
158,0,mujets,down_correlated,4,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0870285792185
159,0,mujets,down_correlated,4,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0117876653445
160,0,mujets,down_correlated,5,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0247405116394
161,0,mujets,down_correlated,5,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0122086444781
162,0,mujets,down_correlated,5,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0255399501226
163,0,mujets,down_correlated,5,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0214679263991
164,0,mujets,down_correlated,5,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0416700371608
165,0,mujets,down_correlated,5,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00559922819305
166,0,mujets,down_correlated,5,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0194242156187
167,0,mujets,down_correlated,5,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0348114276984
168,0,mujets,down_correlated,5,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.00471506664736
169,0,mujets,down_uncorrelated,4,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0143273936338
170,0,mujets,down_uncorrelated,4,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.013683847093
171,0,mujets,down_uncorrelated,4,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.029240906188
172,0,mujets,down_uncorrelated,4,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0306368288606
173,0,mujets,down_uncorrelated,4,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.0177209987217
